udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure
4020,M18879,M,302.0,310.9,1558,45.3,193,0
801,M15660,M,297.0,307.9,1882,24.2,97,0
8119,L55298,L,300.3,311.8,1548,33.0,16,0
1338,H30751,H,298.7,310.2,1613,36.0,0,0
8457,L55636,L,298.6,309.9,1556,38.6,36,0
2326,L49505,L,299.3,308.8,1603,33.9,203,0
8630,H38043,H,297.5,308.5,1557,39.1,47,0
5459,L52638,L,303.1,312.6,1514,42.1,138,0
1278,M16137,M,298.2,309.4,1408,46.5,76,0
3055,H32468,H,300.2,309.3,1342,48.7,68,0
3162,L50341,L,300.4,309.8,1314,63.1,146,0
6162,L53341,L,301.0,310.9,1479,44.3,194,0
7428,L54607,L,300.0,311.4,1634,31.9,0,0
9508,L56687,L,299.3,310.5,1505,38.8,30,0
7414,M22273,M,300.1,311.1,1616,35.2,183,0
5855,L53034,L,301.2,310.9,1416,53.3,66,0
270,L47449,L,298.0,308.0,1524,37.0,49,0
8614,M23473,M,297.5,308.5,1401,50.5,6,0
2866,H32279,H,300.7,309.7,1623,32.7,0,0
2391,L49570,L,299.2,308.5,1487,41.2,140,0
88,L47267,L,299.0,309.0,1544,31.8,25,0
1511,M16370,M,298.1,308.7,1547,38.9,0,0
3791,L50970,L,302.3,310.9,1412,48.9,28,0
221,L47400,L,298.3,308.5,1416,52.7,151,0
1170,L48349,L,297.0,308.1,1355,43.7,217,0
9697,L56876,L,298.9,309.9,1404,39.8,62,0
5817,L52996,L,301.3,311.0,1582,35.6,202,0
2605,M17464,M,299.3,309.1,1385,45.6,34,0
7014,M21873,M,300.4,310.4,1544,36.3,21,0
2399,L49578,L,299.2,308.5,1490,43.2,158,0
5186,L52365,L,304.0,313.0,2012,21.1,115,0
8441,L55620,L,298.6,309.8,1370,56.0,0,0
4441,L51620,L,302.5,310.3,1446,44.0,146,0
4397,H33810,H,302.3,310.1,1383,42.9,24,0
484,L47663,L,297.4,309.0,1324,56.9,173,0
9218,L56397,L,297.8,308.8,1421,49.6,101,0
2010,M16869,M,298.6,308.3,1717,28.7,29,0
2060,H31473,H,299.5,309.4,1386,44.4,154,0
9623,L56802,L,298.9,310.0,1794,27.2,114,0
2050,M16909,M,299.3,309.2,1586,37.9,129,0
5940,L53119,L,300.5,310.5,1409,60.9,73,0
6755,L53934,L,301.8,311.1,1495,36.9,197,0
7505,L54684,L,300.4,311.8,1589,42.0,201,0
411,M15270,M,297.5,308.6,1472,44.9,198,0
6754,L53933,L,301.6,310.9,1385,50.7,195,0
2633,M17492,M,300.0,309.7,1652,28.6,112,0
9410,L56589,L,298.0,308.5,1664,28.3,196,0
9648,L56827,L,299.2,310.2,1458,47.0,183,0
3558,M18417,M,301.8,310.7,1309,43.3,68,0
5778,L52957,L,301.6,311.1,1408,44.4,106,0
4947,M19806,M,303.7,312.7,1669,31.7,120,0
966,L48145,L,295.8,306.6,1508,46.5,99,0
6628,M21487,M,301.7,310.6,1876,22.1,99,0
9953,L57132,L,298.2,307.8,1429,46.9,117,0
4903,L52082,L,303.6,312.3,1616,29.3,226,0
3534,L50713,L,302.0,311.0,1563,36.2,8,0
4627,L51806,L,303.0,311.2,1664,29.8,186,0
1404,L48583,L,299.0,310.2,1372,48.0,174,0
6738,M21597,M,301.7,311.0,1537,33.5,146,0
3976,H33389,H,302.4,311.5,1540,43.7,81,0
285,L47464,L,298.2,308.3,2051,19.2,90,0
3552,L50731,L,301.9,310.9,1799,24.2,54,0
1998,L49177,L,298.3,308.1,1672,41.3,0,0
4504,M19363,M,302.5,310.2,1751,30.5,90,0
8311,L55490,L,298.7,309.9,1465,39.7,72,0
3007,L50186,L,300.4,309.7,1488,35.7,177,0
4603,M19462,M,303.0,311.0,1409,41.7,120,0
2430,L49609,L,298.9,308.3,1432,48.9,38,0
2615,L49794,L,299.3,309.1,1634,36.8,62,0
4565,L51744,L,302.8,310.8,1516,39.5,23,0
2254,L49433,L,299.2,308.4,1386,54.1,26,0
8013,M22872,M,300.9,312.0,1375,56.1,182,0
716,L47895,L,297.4,308.6,1324,59.1,118,0
2374,L49553,L,299.2,308.4,1350,51.3,96,0
